Format,Catalog,ScientificName,CommonName,Male,Female,Adult,Immature,Call,Song,Mechanical,Behaviors,Environmental,FX,People/Interview,ERSubtitles,FXSubtitles,PplSubtitles,Country,State,Locality,Latitude,Longitude,Captive,RecordistLast,RecordistFirst,RecordistMiddle,Year,Month,Day,Time,Length,Quality
Audio ,101401,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Paraguay,Canindeyú,,,,,Madroño,Alberto,,1995,9,16,07:30,1:36,2
Audio ,105117,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Panama,Darién,,9,-79,,Macaulay,Linda,R,2000,1,20,09:00,:50,2
Audio ,103258,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Costa Rica,Guanacaste,,10.851026,-85.611627,,Medler,Matthew,D,1999,7,11,08:45,:16,2
Audio ,103255,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Costa Rica,Guanacaste,,10.851026,-85.611627,,Medler,Matthew,D,1999,7,11,08:02,3:04,2
Audio ,103240,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Costa Rica,Guanacaste,,10.878261,-85.572828,,Medler,Matthew,D,1999,7,6,08:24,3:34,2
Audio ,103195,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Costa Rica,Guanacaste,,10.851026,-85.611627,,Medler,Matthew,D,1999,7,5,10:17,:25,2
Audio ,103192,Thamnophilus doliatus , Barred Antshrike,,,,,Y,,,call,,,,,,,Costa Rica,Guanacaste,,10.851026,-85.611627,,Medler,Matthew,D,1999,7,5,09:45,:27,2
Audio ,103145,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Costa Rica,Guanacaste,,10.851218,-85.607595,,Medler,Matthew,D,1999,6,26,00:00,:15,2
Audio ,82493,Taraba major , Great Antshrike,,,,,Y,,,call,,,,,,,Ecuador,Los Ríos,,-1.3333333,-79.5833333,,Parker,"Theodore A., III",,1991,7,8,00:00,:22,2
Audio ,80760,Taraba major , Great Antshrike,,,,,Y,,,call,,,,,,,Bolivia,Santa Cruz,,-18.85,-58.6833333,,Parker,"Theodore A., III",,1991,6,12,00:00,:14,2
Audio ,82122,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Colombia,Tolima,,4.07,-74.7,,Donahue,Paul,K,1986,6,11,11:11,1:16,2
Audio ,80514,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Bolivia,Santa Cruz,,-13.65,-60.82,,Parker,"Theodore A., III",,1991,5,,00:00,1:41,2
Audio ,80168,Taraba major , Great Antshrike,,,,,Y,,,call,,,,,,,Ecuador,Manabí,,-1.6,-80.7,,Parker,"Theodore A., III",,1991,1,22,00:00,1:01,2
